id,rank,  workers  ,company,state,city,  growth_in_%  ,  revenue  ,industry,yrs_on_list
22890,1,227,Fuhu,CA,El Segundo,"158,957","$195,640,000.00 ",Consumer Products & Services,2
25747,2,191,Quest Nutrition,CA,El Segundo,"57,348","$82,640,563.00 ",Food & Beverage,1
25643,3,145,Reliant Asset Management,VA,Arlington,"55,460","$85,076,502.00 ",Business Products & Services,1
26098,4,62,Superfish,CA,Palo Alto,"26,043","$35,293,000.00 ",Software,1
26182,5,92,Acacia Communications,MA,Maynard,"20,690","$77,652,360.00 ",Telecommunications,1
22913,6,50,Provider Power,ME,Auburn,"19,877","$137,977,203.00 ",Energy,2
22937,7,129,Crescendo Bioscience,CA,South San Francisco,"18,375","$27,308,000.00 ",Health,2
25413,8,130,Plexus Worldwide,AZ,Scottsdale,"16,458","$159,897,088.00 ",Health,1
26079,9,264,Vacasa,OR,Portland,"16,192","$26,263,454.00 ",Travel & Hospitality,1
25861,10,11,Go Energies,NC,Wilmington,"16,007","$32,851,754.00 ",Energy,1
25231,11,113,Minute Key,CO,Boulder,"14,588","$15,782,039.00 ",Consumer Products & Services,1
26450,12,135,Sainstore,KS,Lenexa,"14,087","$19,243,863.00 ",Business Products & Services,1
22892,13,153,The HCI Group,FL,Jacksonville,"13,231","$34,583,142.00 ",Health,2
26223,14,313,Dynamic Dental Partners Group,FL,Palmetto,"12,896","$19,802,935.00 ",Health,1
25021,15,159,Aseptia,NC,Raleigh,"12,427","$13,887,650.00 ",Food & Beverage,1
26535,16,34,Asentra Health,HI,Honolulu,"12,128","$20,445,071.00 ",Health,1
24632,17,436,American Solar Direct,CA,Los Angeles,"11,560","$52,086,567.00 ",Energy,1
26246,18,42,Prescient Edge,VA,McLean,"11,498","$12,315,210.00 ",Government Services,1
22962,19,27,BlueSquare Resolutions,AZ,Scottsdale,"11,489","$46,400,872.00 ",Financial Services,2
25398,20,44,BES Design/Build,AL,Fairhope,"11,375","$11,819,161.00 ",Engineering,1
25290,21,12,Simpler Trading,TX,Austin,"10,523","$11,260,000.00 ",Financial Services,1
24803,22,790,sweetFrog Premium Frozen Yogurt,VA,Richmond,"10,372","$34,382,478.00 ",Food & Beverage,1
25925,23,17,Base Commerce,AZ,Tempe,"10,186","$12,479,598.00 ",Financial Services,1
25323,24,102,CPSG Partners,TX,Dallas,"9,532","$17,095,000.00 ",IT Services,1
25679,25,102,MedHOK,FL,Tampa,"9,109","$17,037,000.00 ",Health,1
25524,26,90,Showroom Logic,FL,Miami,"8,449","$13,443,409.00 ",Advertising & Marketing,1
25360,27,27,WeVeel,PA,Morrisville,"8,240","$9,007,000.00 ",Consumer Products & Services,1
25764,28,10,PackIt,CA,Westlake Village,"7,878","$11,874,148.00 ",Consumer Products & Services,1
25317,29,8,American Retirement Advisors,AZ,Scottsdale,"7,758","$13,876,488.00 ",Financial Services,1
26342,30,200,HighPoint Global,IN,Indianapolis,"7,639","$95,810,719.00 ",Business Products & Services,1
24949,31,33,AdKarma,MO,Columbia,"7,635","$13,326,503.00 ",Advertising & Marketing,1
25188,32,176,Axtria,NJ,Berkeley Heights,"7,351","$8,963,909.00 ",IT Services,1
25240,33,24,Dolls Kill,CA,San Francisco,"7,056","$7,585,000.00 ",Retail,1
25357,34,140,Centric Digital,NY,New York,"6,898","$18,045,419.00 ",Business Products & Services,1
25522,35,55,Retail Capital,MI,Troy,"6,861","$7,013,359.00 ",Financial Services,1
22949,36,61,Restore Health,WI,Madison,"6,663","$6,821,205.00 ",Health,2
25527,37,53,OpenRoad Lending,TX,North Richland Hills,"6,603","$8,853,881.00 ",Financial Services,1
25755,38,25,Pontchartrain Partners,LA,New Orleans,"6,535","$10,545,091.00 ",Government Services,1
25634,39,1,Team Extreme Marketing International,MD,Chevy Chase,"6,369","$6,772,856.00 ",Consumer Products & Services,1
25306,40,4,Choice Energy,IA,Des Moines,"6,021","$20,894,369.00 ",Energy,1
26117,41,24,ReviMedia,NY,New York,"5,817","$5,963,105.00 ",Advertising & Marketing,1
26490,42,96,SmartZip Analytics,CA,Pleasanton,"5,811","$11,396,150.00 ",Software,1
25659,43,48,Thompson Gray,AL,Huntsville,"5,753","$14,104,761.00 ",Government Services,1
26179,44,147,MCSG Technologies,OK,Norman,"5,715","$7,686,703.00 ",IT Services,1
25965,45,20,Innovative Surveillance Solutions,TX,Tyler,"5,605","$10,247,444.00 ",Security,1
25677,46,379,Nordic,WI,Madison,"5,593","$81,410,104.00 ",Health,1
